S.No, WorkerID, total labels, Cost for labeling, Attempting bonus, email bonus, Total cost
1, APY5858P6BTDY, 0, 0.0, 0.2, 0, 0.2
2, A1S88VQY8G8CNC, 0, 0.0, 0.2, 0, 0.2
3, A1N2O9SRQSVL03, 0, 0.0, 0.2, 0, 0.2
4, A1X94LTZZQMHTP, 0, 0.0, 0.2, 0, 0.2
5, A2TNGZPWGNQLQ, 0, 0.0, 0.2, 0, 0.2
6, A32QWM7BWCSPTS, 0, 0.0, 0.2, 0, 0.2
7, ASIIBJHP327J7, 0, 0.0, 0.2, 0, 0.2
8, A2FL477TMKC91L, 0, 0.0, 0.2, 0, 0.2
9, A1G34TESSXG1R8, 0, 0.0, 0.2, 0, 0.2
10, A13LAT8QCT8TVJ, 0, 0.0, 0.2, 0, 0.2
11, A7LSDDIDEP7N0, 0, 0.0, 0.2, 0, 0.2
12, AX52PJTN3QQBI, 0, 0.0, 0.2, 0, 0.2
13, A389861VXHBHWU, 0, 0.0, 0.2, 0, 0.2
14, A2S9NHYQH9OHDQ, 0, 0.0, 0.2, 0, 0.2
15, AKA303L9BU8DF, 0, 0.0, 0.2, 0, 0.2
16, A1ICXZVLIZM6IF, 0, 0.0, 0.2, 0, 0.2
17, AXLNLH5T4KCCF, 0, 0.0, 0.2, 0, 0.2
18, AJM4334V07JDQ, 0, 0.0, 0.2, 0, 0.2
19, A3NILXB4J3BO09, 0, 0.0, 0.2, 0, 0.2
20, A1NKBXOTZAI1YK, 0, 0.0, 0.2, 0, 0.2
21, AWJUGWPCUGKEG, 0, 0.0, 0.2, 0, 0.2
22, A1RVMADIZE3BXK, 0, 0.0, 0.2, 0, 0.2
23, A2OTQJZW0I3M2Q, 0, 0.0, 0.2, 0, 0.2
24, AOMTOP1Q9OUU2, 0, 0.0, 0.2, 0, 0.2
25, A147F5PJTHOB8A, 0, 0.0, 0.2, 0, 0.2
26, A1KGCOR8OXYR72, 0, 0.0, 0.2, 0, 0.2
27, A2AJ5QFNC9KF43, 0, 0.0, 0.2, 0, 0.2
28, A18VIO909RWY6D, 0, 0.0, 0.2, 0, 0.2
29, A1FR6OOLIBJ2TS, 0, 0.0, 0.2, 0, 0.2
30, A1ZTSCPETU3UJW, 0, 0.0, 0.2, 0, 0.2
31, A1TM0YUPC90UFZ, 0, 0.0, 0.2, 0, 0.2
32, A11TQ6LIB906SI, 0, 0.0, 0.2, 0, 0.2
33, A2Q96LE5Y0P424, 0, 0.0, 0.2, 0, 0.2
34, A2I7BTOLVB498E, 0, 0.0, 0.2, 0, 0.2
35, A316BO22S3E7DG, 0, 0.0, 0.2, 0, 0.2
36, A1FQB5YXM577SV, 0, 0.0, 0.2, 0, 0.2
37, A39PKC5DMX5FJN, 0, 0.0, 0.2, 0, 0.2
38, A2WGW5Y3ZFBDEC, 1, 0.07, 0.2, 0, 0.27
39, A3NUYAG56BPYBB, 1, 0.07, 0.2, 0, 0.27
40, A3UUH3632AI3ZX, 1, 0.07, 0.2, 0, 0.27
41, A15LHHN76OW2UM, 1, 0.07, 0.2, 0, 0.27
42, A1N8TKTLXV92QR, 1, 0.07, 0.2, 0, 0.27
43, A1CUGWGAVOV7YF, 1, 0.07, 0.2, 0, 0.27
44, A10BH0KB2XIJC0, 1, 0.07, 0.2, 0, 0.27
45, A3EMZRRD1ADOI3, 1, 0.07, 0.2, 0, 0.27
46, AKSJ3C5O3V9RB, 1, 0.07, 0.2, 0, 0.27
47, A38Z7Q3V5E2Q70, 1, 0.07, 0.2, 0, 0.27
48, ATLUSJHPFBL1E, 1, 0.07, 0.2, 0, 0.27
49, ABVB01HGQO68O, 1, 0.07, 0.2, 0, 0.27
50, A2M9EE6KTM8F8I, 1, 0.07, 0.2, 0, 0.27
51, A2NQO3JAPV0MUQ, 1, 0.07, 0.2, 0, 0.27
52, A5Z8N0EWH45YT, 1, 0.07, 0.2, 0, 0.27
53, A32W24TWSWXW, 1, 0.07, 0.2, 0, 0.27
54, A1WTIPXQDJIMUI, 1, 0.07, 0.2, 0, 0.27
55, A1FCK3J0EG2J1M, 1, 0.07, 0.2, 0, 0.27
56, APO6KZZ79PO9Q, 1, 0.07, 0.2, 0, 0.27
57, A200H4TX468LE, 2, 0.14, 0.2, 0, 0.34
58, A229SEF35EGTSF, 2, 0.14, 0.2, 0, 0.34
59, A2UO3QJZNC2VOE, 2, 0.14, 0.2, 0, 0.34
60, A3LW3YQSSHLKHQ, 2, 0.14, 0.2, 0, 0.34
61, A2G65NU87B3H6T, 2, 0.14, 0.2, 0, 0.34
62, A2EF48CNFOTO6N, 2, 0.14, 0.2, 0, 0.34
63, ATSZCAVI441RM, 3, 0.21, 0.2, 0, 0.41
64, ANT979UZZF7N0, 3, 0.21, 0.2, 0, 0.41
65, AH10I9WRFTN8A, 3, 0.21, 0.2, 0, 0.41
66, A110KENBXU7SUJ, 3, 0.21, 0.2, 0, 0.41
67, AUT1MH3OQ6T1, 3, 0.21, 0.2, 0, 0.41
68, A3ESC1H6BBKF30, 4, 0.28, 0.2, 0, 0.48
69, A498BPKW6UKPL, 4, 0.28, 0.2, 0, 0.48
70, AQVXVMX61864S, 5, 0.35, 0.2, 0, 0.55
71, A31WESV64WVF8, 5, 0.35, 0.2, 0, 0.55
72, A1G69P73SBVUR4, 5, 0.35, 0.2, 0, 0.55
73, A2JZP4AZI1RTG4, 5, 0.35, 0.2, 0, 0.55
74, A2QNHJGZLC8MR9, 5, 0.35, 0.2, 0, 0.55
75, A1RIGMUY9O3GVD, 5, 0.35, 0.2, 0, 0.55
76, A1ZKYRW46JBCDV, 6, 0.42, 0.2, 0, 0.62
77, A3CHMK81S297T3, 6, 0.42, 0.2, 0, 0.62
78, A30ROPCG8941ZI, 7, 0.49, 0.2, 0, 0.69
79, A39KHMYFO61LKN, 8, 0.56, 0.2, 0, 0.76
80, A2DZBXFRGMOQJQ, 8, 0.56, 0.2, 0, 0.76
81, A2ODH6HV36EP88, 8, 0.56, 0.2, 0, 0.76
82, A3QL83973NFWOB, 10, 0.7, 0.2, 0, 0.9
83, A118AEVQ81QLG0, 10, 0.7, 0.2, 0, 0.9
84, A3OV174HQJIJK8, 10, 0.7, 0.2, 0, 0.9
85, A35NEL9WYU3VG8, 10, 0.7, 0.2, 0, 0.9
86, A3MFK5UEUG95M3, 11, 0.77, 0.2, 0, 0.97
87, A1L96J8UNF4TOB, 11, 0.77, 0.2, 0, 0.97
88, AA90P0SNOQZJZ, 11, 0.77, 0.2, 0, 0.97
89, A53S7J4JGWG38, 11, 0.77, 0.2, 0, 0.97
90, A1UL0HQUZQPMSX, 11, 0.77, 0.2, 0, 0.97
91, A5B73N9C2HVEG, 12, 0.84, 0.2, 0, 1.04
92, A19PMT8RV13FZR, 12, 0.84, 0.2, 0.3, 1.34
93, A1BG9YNQ9CEBYS, 12, 0.84, 0.2, 0, 1.04
94, A3GM78FCDY293T, 12, 0.84, 0.2, 0, 1.04
95, A35ZRGM4AQ6FF5, 12, 0.84, 0.2, 0, 1.04
96, A3VPD34C23PQTQ, 12, 0.84, 0.2, 0, 1.04
